29;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
30;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
31;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
32;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
33;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
34;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
35;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
36;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
37;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
38;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
39;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
40;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
41;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
42;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
43;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
44;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";"{""Supplier"":""Process details""}";
45;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
46;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";COMPLETE
47;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";COMPLETE
48;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
49;"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";
50;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
51;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
52;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
53;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
54;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
