26;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
27;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Perform maintenance""}";
28;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
29;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Maintenance complete""}";COMPLETE
30;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Waiting for delivery""}";"{""Maintenance Contractor"":""Waiting for delivery""}";"{""Maintenance Contractor"":""Waiting for delivery""}";"{""Maintenance Contractor"":""Perform maintenance""}";COMPLETE
31;"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Maintenance complete""}";"{""Maintenance Contractor"":""Maintenance complete""}";"{""Maintenance Contractor"":""Maintenance complete""}";
32;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";COMPLETE
33;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";
34;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Maintenance complete""}";"{""Maintenance Contractor"":""Maintenance complete""}";
35;"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":""Waiting until maintenance is due""}";"{""Building Administrator"":{""Preparation"":{""Prepare maintenance"":""Setup facility site"",""Request maintenance"":""Send request""}}}";"{""Maintenance Contractor"":""Perform maintenance""}";"{""Maintenance Contractor"":""Maintenance complete""}";"{""Maintenance Contractor"":""Maintenance complete""}";
